,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,volume_adi,volume_obv,volume_obvm,volume_cmf,volume_fi,volume_em,volume_vpt,volume_nvi,volatility_atr,volatility_bbh,volatility_bbl,volatility_bbm,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kchi,volatility_kcli,volatility_dch,volatility_dcl,volatility_dchi,volatility_dcli,trend_macd,trend_macd_signal,trend_macd_diff,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,momentum_rsi,momentum_mfi,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,others_dr,others_dlr,others_cr
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2018-03-13,182.59,183.5,179.24,179.97,31168404.0,0.0,1.0,182.59,183.5,179.24,179.97,31168404.0,-36043260.18788032,31168404.0,18595478.7,-0.5106814471505153,11330667.47999994,7.887582906135148e-08,233069.8663405253,1068.9570954056956,4.401754874171791,183.70980187623792,163.88747085103486,173.79863636363635,0.0,0.0,174.81550333333337,178.40149333333335,171.2295133333334,0.0,0.0,179.97,164.94,0.0,0.0,1.0942279324205515,0.6603074270237781,0.4339205053967734,175.89815338430202,174.8039254518815,0.0,0.0,0.0,1.0,1.0,0.0,0.20772224214202034,9.044815694204477,93.42034835344559,-1.553060606060626,11.160418824275867,-6.831859997862965,17.992278822138836,174.22,174.22,171.17354040404038,169.19308080808074,44.0,12.0,32.0,77.91158090202876,70.66466518326379,0.42908705819118775,44.374614054612294,80.98060344827586,85.74599909718803,-19.019396551724146,4.039096363636418,0.8574310692669895,0.8537760073047629,6.908637281691822
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2018-03-12,180.29,182.39,180.21,181.72,32055405.0,0.0,1.0,180.29,182.39,180.21,181.72,32055405.0,-8134650.9846232915,32055405.0,18173757.5,-0.4380825181500592,9774190.080000004,7.127252572601577e-08,578949.3008108393,1068.9570954056956,4.2602009545880914,184.95718289171384,163.96031710828618,174.45875,0.0,0.0,175.88250333333335,179.02049333333332,172.74451333333337,0.0,0.0,181.72,164.94,0.0,0.0,1.2795844176335436,0.7933021531325752,0.4862822645009683,176.93325860026826,175.6536741826347,0.0,0.0,0.0,1.0,1.0,0.0,0.2275950812366043,9.862153987024694,88.3454171633336,-6.118750000000006,15.778996348039895,-2.7807288617472565,18.55972520978716,175.135,174.22,171.17354040404038,169.19308080808074,48.0,12.0,36.0,81.06901317279336,73.1372016558759,3.381900547419054,47.308151683621816,90.40948275862068,86.01321230430996,-9.590517241379317,4.634922500000073,0.972384286269934,0.9676870558091188,7.948200071284296
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2018-03-09,177.96,180.0,177.39,179.98,31385134.0,0.0,1.0,177.96,180.0,177.39,179.98,31385134.0,43255759.72273184,-31385134.0,19060139.5,-0.3335094943760431,2167.299999998029,4.72804138065385e-08,11183.709013647633,1058.7216488615293,4.265186600688943,185.3911772628038,164.37574581411928,174.88346153846157,0.0,0.0,177.13483666666667,180.03582666666665,174.2338466666667,0.0,0.0,181.72,164.94,0.0,0.0,1.3017861796080863,0.9009150394160376,0.4008711401920488,177.46228865139236,176.16050247178433,0.0,0.0,0.0,1.0,1.0,0.0,0.2404652527667001,10.689531841542648,53.05627739788274,-2.113461538461536,22.46713294182226,1.9874568291069288,20.479676112715328,175.8,174.22,171.17354040404038,169.19308080808074,48.0,12.0,36.0,69.64726495625789,67.62763195141646,5.220661728800686,45.94937227070457,81.03448275862063,84.14152298850577,-18.965517241379363,4.433929230769253,-0.9575170592119764,-0.9621307285400782,6.914577640489483
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2018-03-08,175.48,177.12,175.07,176.94,23163767.0,0.0,1.0,175.48,177.12,175.07,176.94,23163767.0,50000119.30460667,-23163767.0,12638655.2,-0.27392917273454465,42502029.64000001,2.5943401735792707e-08,-691771.7718576216,1040.8390296119512,4.311244700639732,185.1855153352286,164.87519895048575,175.03035714285718,0.0,0.0,177.76833666666667,180.46632666666667,175.07034666666667,0.0,0.0,181.72,164.94,0.0,0.0,1.1253102489799858,0.9478586846816148,0.17745156429837072,177.37335956980098,176.248049320821,0.0,0.0,0.0,0.7853256751250179,1.0,0.21467432487498195,0.2420293120207233,11.50124675560258,14.445291870236087,-10.090357142857158,25.83496603559573,6.801342355456541,19.033623680139183,176.39999999999995,174.22,171.17354040404038,169.19308080808074,48.0,12.0,36.0,54.24154527281976,64.11744904935628,5.787481642208897,45.11746362088368,64.65517241379311,78.69971264367815,-35.34482758620691,3.779639285714296,-1.6890765640626748,-1.7035041550562011,5.1087085659973885
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2018-03-07,174.94,175.85,174.27,175.03,31703462.0,0.0,1.0,174.94,175.85,174.27,175.03,31703462.0,17892054.590120215,-31703462.0,5943573.2,-0.2584052588980794,-1575723.599999996,2.040593607289125e-08,-733480.5734732477,1040.8390296119512,4.194012936308321,184.81608862695614,165.24457803971055,175.03033333333335,0.0,0.0,178.01933666666667,180.49232666666663,175.5463466666667,0.0,0.0,181.72,164.94,0.0,0.0,0.8645205039939299,0.9305832222457272,-0.06606271825179721,176.98080672494348,176.11628622094955,0.0,0.0,0.0,0.7973603214312792,0.6653005837313326,0.1320597376999466,0.2333436928988961,12.282329285175381,-4.514635983457115,-6.1853333333333484,27.202550701409802,11.121355329886553,16.081195371523243,176.39999999999995,174.22,171.17354040404038,169.19308080808074,48.0,12.0,36.0,46.74560079263461,65.00885721276222,5.694525371659294,42.4480388493918,54.36422413793105,66.68462643678161,-45.63577586206896,2.990996666666689,-1.0794619645077441,-1.0853304252496088,3.97410003564216
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2018-03-06,177.91,178.25,176.13,176.67,23788506.0,0.0,1.0,177.91,178.25,176.13,176.67,23788506.0,-12873762.068784595,23788506.0,6391019.9,-0.2693270800605725,-168679.5300000064,5.0555142166667666e-08,-119332.73933491908,1050.5915063791545,4.12444058371487,184.62223114657684,165.64339385342322,175.13281250000003,0.0,0.0,178.15500333333335,180.6539933333333,175.65601333333336,0.0,0.0,181.72,164.94,0.0,0.0,0.7552342321855576,0.8944977072853878,-0.13926347509983014,176.9294434630739,176.17420923088838,0.0,20.0,20.0,0.806044949212189,0.5670623050467893,0.2389826441653997,0.22169139341004104,13.077070183861728,24.026388602269765,-3.8628125000000177,29.290972765096196,15.20658142207644,14.084391343019755,176.5525,174.22,171.17354040404038,169.19308080808074,48.0,12.0,36.0,53.15887764017911,64.09149667160901,6.0251935999755935,42.45621709946922,63.200431034482705,60.73994252873564,-36.799568965517295,2.0501843750000432,0.9369822316174226,0.932619782184485,4.948318878460256
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,2018-03-05,175.21,177.74,174.52,176.82,28401366.0,0.0,1.0,175.21,177.74,174.52,176.82,28401366.0,502180.86792403646,28401366.0,5950687.0,-0.23221305099712675,-5910751.839999974,6.265162093770554e-08,247007.98676625863,1050.5915063791545,4.059837684878094,184.45652565014302,166.00759199691592,175.23205882352948,0.0,0.0,178.24333666666664,180.6833266666667,175.80334666666667,0.0,0.0,181.72,164.94,0.0,0.0,0.6717985026273539,0.8489318136456984,-0.1771333110183445,176.91156113618683,176.23976263355945,0.0,20.0,20.0,0.8379224592004151,0.5357033071410074,0.30221915205940764,0.2087178054894318,13.950315386511596,13.508571481212824,0.007941176470552591,30.20627384578584,18.824057202719874,11.382216643065965,176.5525,174.22,171.17354040404038,169.19308080808074,48.0,12.0,36.0,53.746721969769204,72.33485546552475,6.341609815752845,47.91219337922053,55.1677852348993,57.577480135771026,-44.8322147651007,0.9860558823529856,0.08490405841399262,0.08486803530693976,5.037424260425327
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,2018-03-02,172.8,176.3,172.45,176.21,38453950.0,0.0,1.0,172.8,176.3,172.45,176.21,38453950.0,48828116.98701264,-38453950.0,-1578353.6,-0.15259003983804142,-6746104.2399997,2.7312558649301334e-08,-108545.90834262196,1050.5915063791545,4.08199213595823,184.24730258019332,166.32547519758452,175.2863888888889,0.0,0.0,177.91666999999995,180.59166000000002,175.24168000000003,0.0,0.0,181.72,164.94,0.0,0.0,0.5611926618036023,0.790328275792323,-0.2291356139887208,176.79801479964047,176.23682213783687,0.0,20.0,20.0,0.7804144127624467,0.6416044741908877,0.138809938571559,0.1942857194306731,14.916441144897215,-8.075947069663584,0.013611111111089258,31.89497442936152,22.14110532304705,9.753869106314466,176.0975,174.22,171.17354040404038,169.19308080808074,48.0,12.0,36.0,50.75773671856621,63.11054939023349,6.455730818113245,54.82805174131861,40.441176470588346,52.9364642466568,-59.55882352941165,0.1927750000000401,-0.34498359914035825,-0.3455800397018649,4.67506237376738
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,2018-03-01,178.54,179.775,172.66,175.0,48801970.0,0.0,1.0,178.54,179.775,172.66,175.0,48801970.0,19954374.673590586,-48801970.0,-8717007.1,-0.16748579933440905,-37129099.27999986,2.6824662772576966e-08,-467773.5129070974,1050.5915063791545,4.2986355548183575,183.98074990944144,166.561881669506,175.27131578947373,0.0,0.0,177.5991666666667,180.7686666666667,174.4296666666667,0.0,0.0,181.72,164.94,0.0,0.0,0.39174505738265,0.7094459956083162,-0.31770093822566625,176.5093196444495,176.11757458706685,0.0,20.0,20.0,0.7832307553469909,0.6715982312065709,0.11163252414042002,0.17758798294422765,16.111483433165667,5.284368524910543,2.7486842105262785,31.621460036653446,25.050860658671173,6.570599377982282,176.0975,174.22,171.17354040404038,169.19308080808074,48.0,12.0,36.0,45.02655764767296,53.060310534347906,6.250334091420307,50.280106787842385,23.076923076923155,39.56196159413695,-76.92307692307683,0.18357631578950875,-0.6866806651154911,-0.6890491657125075,3.956278959249127
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,2018-02-28,179.26,180.615,178.05,178.12,33604574.0,0.0,1.0,179.26,180.615,178.05,178.12,33604574.0,-48472134.5317461,33604574.0,-2449002.8,-0.20740202334117885,-9262308.159999983,2.5269513389213324e-08,264007.8557002524,1069.3220520928858,4.392661586617047,183.9860842488312,166.8414157511688,175.41375000000005,0.0,0.0,177.59966666666668,180.75466666666668,174.44466666666668,0.0,0.0,181.72,164.94,0.0,0.0,0.4597916767401955,0.6589327538072939,-0.1991410770670985,176.76621020020596,176.30641852346577,0.0,20.0,20.0,0.825552351775095,0.6989529644981085,0.1265993872769865,0.16439747612121358,17.20474248213283,55.27670056928845,3.236249999999984,32.32931795501977,27.40296056208716,4.9263573929326085,175.82,174.22,171.17354040404038,169.19308080808074,48.0,12.0,36.0,58.850297676991474,54.62065369527992,6.741661470263338,49.6665121886403,51.312217194570216,38.27677224736059,-48.687782805429784,0.8519975000000386,1.7828571428571531,1.7671506529986836,5.80967090412261
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2018-02-27,179.1,180.48,178.16,178.39,38685165.0,0.0,1.0,179.1,180.48,178.16,178.39,38685165.0,-62785236.77866891,38685165.0,-1697326.7,-0.2158872665351908,-34295968.94999986,2.7746202088745654e-08,657761.7598214848,1069.3220520928858,4.2474714732872565,183.9007526704696,167.93174732953042,175.91625000000005,0.0,0.0,177.4103333333333,180.37133333333333,174.44933333333336,0.0,0.0,181.72,164.94,0.0,0.0,0.5247185539790564,0.6318400275478631,-0.10712147356880664,177.0237376584925,176.4990191045134,0.0,20.0,20.0,0.8458530717986679,0.7050314581791276,0.14082161361954024,0.1539999841365875,18.220058858055946,51.219445693843824,2.5237499999999784,31.946592036937734,29.19936008307581,2.747231953861924,175.37625,174.22,171.17354040404038,169.19308080808074,48.0,12.0,36.0,59.85821833507399,55.283607921715266,7.226835956414273,48.589019759569815,53.75565610859722,42.71493212669688,-46.244343891402785,1.1102357142857215,0.1515832023355035,0.15146843096749407,5.9700605916597205
